date,KZT,UAH,EUR,BYR,USD
24/01/2003,0.20501000000000003,5.9432,34.1205,0.016403300000000003,31.811
23/02/2003,0.207275,5.888389999999999,34.1403,0.0160642,31.55
25/03/2003,0.206165,5.85825,33.3165,0.0157192,31.3803
24/04/2003,0.20440999999999998,5.77536,34.1326,0.0154038,31.1003
24/05/2003,0.204939,5.66237,36.0051,0.0151021,30.8316
23/06/2003,0.204117,5.6330599999999995,35.2112,0.0147098,30.3205
23/07/2003,0.206825,5.655279999999999,34.3151,0.0146175,30.2976
22/08/2003,0.20711400000000002,5.6338099999999995,33.5426,0.0144936,30.3251
21/09/2003,0.206982,5.67988,34.4044,0.014513,30.56
21/10/2003,0.20326899999999998,5.57291,34.9558,0.014111499999999999,30.0179
20/11/2003,0.203534,5.53043,35.65,0.013923999999999999,29.7952
20/12/2003,0.20218599999999998,5.43244,36.3369,0.013568199999999999,29.245
19/01/2004,0.20415299999999997,5.35341,36.29,0.013347300000000001,28.8795
18/02/2004,0.20488800000000001,5.27816,36.5584,0.013202199999999999,28.4878
19/03/2004,0.20491099999999998,5.29041,35.0585,0.0132296,28.5005
18/04/2004,0.20782699999999998,5.333019999999999,34.3181,0.0132849,28.6223
18/05/2004,0.212312,5.4201,34.7855,0.0134686,29.0436
17/06/2004,0.21279,5.43393,35.3056,0.0134507,29.0199
17/07/2004,0.21482500000000002,5.45027,35.965,0.013458,29.0908
16/08/2004,0.216153,5.48024,35.721,0.0135179,29.2579
15/09/2004,0.215777,5.4450899999999995,35.8775,0.013464499999999999,29.2162
15/10/2004,0.21895399999999998,5.411379999999999,35.975,0.013385600000000001,29.1154
14/11/2004,0.218943,5.33294,37.0353,0.013144600000000001,28.6651
14/12/2004,0.216228,5.22135,37.2788,0.0128951,28.1243
13/01/2005,0.214442,5.17379,36.5953,0.0128162,27.88
12/02/2005,0.215886,5.28951,36.1302,0.0129238,28.0688
14/03/2005,0.211372,5.2089,36.8772,0.0127301,27.4629
13/04/2005,0.21243800000000002,5.29412,36.064,0.012864599999999999,27.765
13/05/2005,0.212121,5.48501,35.6121,0.0129392,27.8677
12/06/2005,0.212335,5.60994,34.7925,0.0132251,28.4671
12/07/2005,0.211797,5.6960299999999995,34.4987,0.013333500000000002,28.7154
11/08/2005,0.20948899999999998,5.63344,35.1563,0.0131942,28.3931
10/09/2005,0.211128,5.58334,35.1253,0.0131156,28.2517
10/10/2005,0.21302,5.5709800000000005,34.6245,0.0132213,28.4577
09/11/2005,0.214543,5.60926,33.8194,0.013401,28.8389
09/12/2005,0.21617899999999998,5.70954,34.0166,0.013461,28.9799
08/01/2006,0.215337,5.67232,34.185,0.013363400000000001,28.7825
07/02/2006,0.21434699999999998,5.520020000000001,33.9016,0.0131226,28.2349
09/03/2006,0.216249,5.46832,33.4786,0.0130116,27.9945
08/04/2006,0.214149,5.407970000000001,33.6814,0.012837099999999999,27.6077
08/05/2006,0.219907,5.359,34.4703,0.0125925,27.0801
